ngu,Nahuatl de Guerrero
nhq,Nahuatl de Huaxcaleca
ncl,Nahuatl de Michoacan
nhm,Nahuatl de Morelos
nlv,Nahuatl de Orizaba
nhg,Nahuatl de Tetelcingo
nuz,Nahuatl de Tlamacazpa
nhi,Nahuatl de Zacatlan-Ahuacatlan-Tepetzintla
nch,Nahuatl de la Huasteca central
nhw,Nahuatl de la Huasteca occidental
nhe,Nahuatl de la Huasteca oriental
nsu,Nahuatl de la Sierra Negra
azz,Nahuatl de la sierra de Puebla
nhx,Nahuatl del Istmo-Tatahuicapan
nhy,Nahuatl del Norte de Oaxaca
ncj,Nahuatl del norte de Puebla
npl,Nahuatl del valle de Tehuacan
